,0
childhood conventional osteosarcoma,0
childhood craniopharyngioma,0
childhood cystic nephroma,0
childhood desmoplastic small round cell tumor,0
childhood diffuse astrocytoma,0
childhood diffuse large b-cell lymphoma,0
childhood diffuse large cell lymphoma,0
childhood embryonal carcinoma,0
childhood embryonal rhabdomyosarcoma,0
"childhood embryonal tumor with multilayered rosettes, c19mc-altered",0
childhood ependymal tumor,0
childhood ependymoma,0
childhood epithelioid hemangioendothelioma,0
childhood epithelioid sarcoma,0
childhood esophageal carcinoma,0
childhood extracranial germ cell tumor,0
childhood extragonadal malignant germ cell tumor,0
childhood extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue,0
childhood extraocular retinoblastoma,0
childhood extraskeletal myxoid chondrosarcoma,0
childhood extraskeletal osteosarcoma,0
childhood favorable prognosis hodgkin lymphoma,0
childhood fibrillary astrocytoma,0
childhood fibrosarcoma,0
childhood ganglioglioma,0
childhood ganglioneuroblastoma,0
"childhood ganglioneuroblastoma, intermixed",0
"childhood ganglioneuroblastoma, nodular",0
childhood gastric carcinoma,0
childhood gastrointestinal stromal tumor,0
childhood gemistocytic astrocytoma,0
childhood germ cell tumor,0
childhood germinomatous germ cell tumor,0
childhood giant cell glioblastoma,0
childhood glioblastoma,0
childhood gliomatosis cerebri,0
childhood gliosarcoma,0
childhood gonadal germ cell tumor,0
childhood grade iii lymphomatoid granulomatosis,0
childhood hematopoietic neoplasm,0
childhood hepatocellular carcinoma,0
childhood hodgkin lymphoma,0
childhood immature teratoma,0
childhood immunoblastic lymphoma,0
"childhood infratentorial embryonal tumor with multilayered rosettes, c19mc-altered",0
childhood infratentorial ependymoma,0
childhood infratentorial neoplasm,0
childhood intracranial meningioma,0
childhood intracranial neoplasm,0
childhood intraocular retinoblastoma,0
childhood kidney angiomyolipoma,0
childhood kidney neoplasm,0
childhood kidney wilms tumor,0
childhood l1 acute lymphoblastic leukemia,0
childhood l2 acute lymphoblastic leukemia,0
childhood langerhans cell histiocytosis,0
childhood langerhans cell histiocytosis with risk organ involvement,0
childhood langerhans cell histiocytosis without risk organ involvement,0
childhood large cell lymphoma,0
childhood laryngeal carcinoma,0
childhood leiomyosarcoma,0
childhood leukemia,0
childhood liposarcoma,0
childhood liver and intrahepatic bile duct neoplasm,0
childhood lung non-small cell carcinoma,0
childhood lung small cell carcinoma,0
childhood lymphoblastic lymphoma,0
childhood lymphocyte-depleted classic hodgkin lymphoma,0
childhood lymphocyte-rich classic hodgkin lymphoma,0
childhood lymphoma,0
childhood lymphomatoid granulomatosis,0
childhood malignant brain neoplasm,17398
childhood malignant central nervous system neoplasm,0
childhood malignant germ cell tumor,0
childhood malignant kidney neoplasm,0
childhood malignant liver neoplasm,0
childhood malignant mesenchymoma,0
childhood malignant neoplasm,0
childhood malignant ovarian germ cell tumor,0
childhood malignant penile neoplasm,0
childhood malignant peripheral nerve sheath tumor,0
childhood malignant small intestinal neoplasm,0
childhood malignant solid neoplasm,0
childhood malignant testicular germ cell tumor,0
childhood mature t-cell and nk-cell non-hodgkin lymphoma,0
childhood mature teratoma,0
childhood mediastinal neurogenic neoplasm,0
childhood medulloblastoma,0
childhood melanoma,0
childhood meningeal melanoma,0
childhood meningioma,0
childhood mesenchymal chondrosarcoma,0
childhood mixed cellularity classic hodgkin lymphoma,0
childhood mixed germ cell tumor,0
childhood mixed glioma,0
childhood multilocular cystic renal neoplasm,0
childhood myelodysplastic syndrome,0
childhood myxopapillary ependymoma,0
childhood nasal cavity carcinoma,0
childhood nasal type extranodal nk/t-cell lymphoma,0
childhood neoplasm,0
childhood neuroblastoma,0
childhood neuroendocrine tumor g1,0
childhood nodular lymphocyte predominant hodgkin lymphoma,0
childhood nodular sclerosis classic hodgkin lymphoma,0
childhood non-hodgkin lymphoma,0
childhood non-hodgkin lymphoma by ann arbor stage,0
childhood non-t non-b acute lymphoblastic leukemia,0
childhood nongerminomatous germ cell tumor,0
childhood oligoastrocytoma,0
childhood oligodendroglioma,0
childhood osteosarcoma,0
childhood ovarian choriocarcinoma,0
childhood ovarian dysgerminoma,0
childhood ovarian embryonal carcinoma,0
childhood ovarian germ cell tumor,0
childhood ovarian immature teratoma,0
childhood ovarian mature teratoma,0
childhood ovarian mixed germ cell tumor,0
childhood ovarian nongerminomatous germ cell tumor,0
childhood ovarian teratoma,0
childhood ovarian yolk sac tumor,0
childhood paranasal sinus carcinoma,0
childhood parathyroid gland carcinoma,0
childhood parosteal osteosarcoma,0
childhood periosteal osteosarcoma,0
childhood pilocytic astrocytoma,0
childhood pilomyxoid astrocytoma,0
childhood pineal parenchymal cell neoplasm,0
childhood pineal parenchymal tumor of intermediate differentiation,0
childhood pineoblastoma,0
childhood pleomorphic rhabdomyosarcoma,0
childhood pleomorphic xanthoastrocytoma,0
childhood pre-b acute lymphoblastic leukemia,0
childhood primary cutaneous anaplastic large cell lymphoma,0
childhood protoplasmic astrocytoma,0
childhood rectal carcinoma,0
childhood renal cell carcinoma,0
childhood rhabdomyosarcoma,0
childhood rhabdomyosarcoma with mixed embryonal and alveolar features,0
childhood salivary gland carcinoma,0
childhood seminoma,0
childhood small intestinal carcinoma,0
childhood small intestinal leiomyosarcoma,0
childhood soft tissue sarcoma,0
childhood solid neoplasm,0
childhood spinal cord ependymoma,17398
childhood spinal cord neoplasm,0
childhood spindle cell rhabdomyosarcoma,0
childhood subependymal giant cell astrocytoma,0
"childhood supratentorial embryonal tumor with multilayered rosettes, c19mc-altered",0
"childhood supratentorial embryonal tumor, not otherwise specified",0
"childhood supratentorial ependymoma, not otherwise specified",0
childhood supratentorial neoplasm,0
childhood synovial sarcoma,0
childhood systemic anaplastic large cell lymphoma,0
childhood t acute lymphoblastic leukemia,0
childhood t lymphoblastic leukemia/lymphoma,0
childhood t lymphoblastic lymphoma,0
childhood tdt negative acute lymphoblastic leukemia,0
childhood tdt positive acute lymphoblastic leukemia,0
childhood teratoma,0
childhood testicular choriocarcinoma,0
childhood testicular embryonal carcinoma,0
childhood testicular germ cell tumor,0
childhood testicular immature teratoma,0
childhood testicular mature teratoma,0
childhood testicular mixed embryonal carcinoma and teratoma,0
childhood testicular mixed germ cell tumor,0
childhood testicular neoplasm,0
childhood testicular non-seminomatous germ cell tumor,0
childhood testicular teratoma,0
childhood testicular yolk sac tumor,0
childhood thyroid gland carcinoma,0
childhood thyroid gland follicular carcinoma,0
childhood thyroid gland medullary carcinoma,0
childhood thyroid gland papillary carcinoma,0
childhood undifferentiated high grade pleomorphic sarcoma of bone,0
childhood undifferentiated pleomorphic sarcoma,0
childhood unfavorable prognosis hodgkin lymphoma,0
childhood vaginal botryoid-type embryonal rhabdomyosarcoma,0
childhood visual pathway astrocytoma,0
childhood visual pathway glioma,0
childhood vulvar botryoid-type embryonal rhabdomyosarcoma,0
childhood yolk sac tumor,0
chlamydia psittaci-associated ocular adnexal mucosa-associated lymphoid tissue lymphoma,0
cholangiocarcinoma,0
cholangiolocellular carcinoma,0
chondroblastic osteosarcoma,0
chondroblastoma,0
chondrogenic neoplasm,0
chondroid chordoma,0
chondroid lipoma,0
chondroid syringoma,0
chondroma,0
chondromatosis,0
chondromyxoid fibroma,0
chondrosarcoma,0
chondrosarcoma nci grade 1,0
chondrosarcoma nci grade 2,0
chondrosarcoma nci grade 3,0
"chondrosarcoma, grade 1",0
"chondrosarcoma, grade 2",0
"chondrosarcoma, grade 3",0
chordoid glioma,0
chordoid meningioma,0
chordoma,0
choriocarcinoma,0
choriocarcinoma combined with other germ cell elements,0
choroid epithelioid cell melanoma,0
choroid hemangioma,0
choroid intermediate cell type melanoma,0
choroid melanoma,0
choroid mixed cell melanoma,0
choroid necrotic melanoma,0
choroid neoplasm,0
choroid nevus,0
choroid plexus carcinoma,0
choroid plexus meningioma,0
choroid plexus neoplasm,0
choroid plexus papilloma,0
choroid spindle cell melanoma,0
choroid spindle cell type a melanoma,0
choroid spindle cell type b melanoma,0
chromophobe hepatocellular carcinoma,0
chromophobe renal cell carcinoma,0
chromophobe renal cell carcinoma associated with birt-hogg-dube syndrome,0
chronic adult t-cell leukemia/lymphoma,0
chronic eosinophilic leukemia with fip1l1-pdgfra,0
"chronic eosinophilic leukemia, not otherwise specified",0
chronic leukemia,0
chronic lymphoblastic lymphoma,0
chronic lymphocytic leukemia,0
chronic lymphocytic leukemia with immunoglobulin heavy chain variable-region gene somatic hypermutation,0
chronic lymphocytic leukemia with plasmacytoid differentiation,0
chronic lymphocytic leukemia with unmutated immunoglobulin heavy chain variable-region gene,0
chronic lymphocytic leukemia- binet staging system,0
chronic lymphocytic leukemia- modified rai staging system,0
chronic monocytic leukemia,0
"chronic myelogenous leukemia, bcr-abl1 positive",0
chronic myelomonocytic leukemia,0
chronic myelomonocytic leukemia with eosinophilia,0
chronic myelomonocytic leukemia with eosinophilia associated with t(5;12)(q31;p12),0
chronic myelomonocytic leukemia-0,0
chronic myelomonocytic leukemia-1,0
chronic myelomonocytic leukemia-2,0
chronic neutrophilic leukemia,0
"chronic phase chronic myelogenous leukemia, bcr-abl1 positive",0
chronic phase primary myelofibrosis,17398
ciliary body adenocarcinoma,0
ciliary body adenoma,0
ciliary body benign medulloepithelioma,0
ciliary body benign teratoid medulloepithelioma,0
ciliary body epithelioid cell melanoma,0
ciliary body intermediate cell type melanoma,0
ciliary body leiomyoma,0
ciliary body malignant medulloepithelioma,0
ciliary body medulloepithelioma,0
ciliary body melanoma,0
ciliary body mixed cell melanoma,0
ciliary body neoplasm,0
ciliary body nevus,0
ciliary body spindle cell melanoma,0
ciliary body spindle cell type a melanoma,0
ciliary body spindle cell type b melanoma,0
ciliary body teratoid medulloepithelioma,0
circumscribed meningeal melanocytic neoplasm,17398
classic congenital mesoblastic nephroma,0
classic hodgkin lymphoma,0
classic hodgkin lymphoma type post-transplant lymphoproliferative disorder,0
classic kaposi sarcoma,0
classic medulloblastoma,0
classic rhabdomyoma,0
classic thyroid gland papillary carcinoma,17398
classic type atypical fibroxanthoma,0
classic type trichilemmoma,0
classic type trichoepithelioma,0
classic variant of chromophobe renal cell carcinoma,0
classical glioblastoma,0
classical low grade fibromyxoid sarcoma,0
classical poroma,0
clear cell acanthoma,0
clear cell adenocarcinoma,0
clear cell adenofibroma,0
clear cell adenoma,0
clear cell chondrosarcoma,0
clear cell cystadenofibroma,0
clear cell ependymoma,0
clear cell hepatocellular carcinoma,0
clear cell hidradenoma,0
clear cell intrahepatic cholangiocarcinoma,0
clear cell malignant neoplasm,0
clear cell meningioma,0
clear cell myomelanocytic tumor of the falciform ligament/ligamentum teres,0
clear cell neoplasm,0
clear cell odontogenic carcinoma,0
clear cell papillary cystadenoma,0
clear cell papillary renal neoplasm,0
clear cell renal cell carcinoma,0
clear cell sarcoma of soft tissue,0
clear cell sarcoma of the kidney,0
clear cell squamous cell carcinoma of the penis,0
clear cell variant thyroid gland papillary carcinoma,0
clitoral carcinoma,0
clivus chondroid chordoma,0
clivus chordoma,0
clivus meningioma,0
coccygeal body neoplasm,0
cockade nevus,0
collecting duct carcinoma,0
colon adenocarcinoma,0
colon adenoma,0
colon adenoma with severe dysplasia,0
colon adenomatous polyp,0
colon adenosquamous carcinoma,0
colon burkitt lymphoma,0
colon cancer by astler-coller stage,0
colon carcinoma,0
colon carcinoma metastatic in the liver,0
colon carcinoma metastatic in the lung,0
colon cavernous hemangioma,0
colon conventional adenoma,0
colon cribriform comedo-type adenocarcinoma,0
colon diffuse large b-cell lymphoma,0
colon enterochromaffin cell serotonin-producing neuroendocrine tumor,0
colon ganglioneuroma,0
colon hodgkin lymphoma,0
colon intramucosal adenocarcinoma,0
colon kaposi sarcoma,0
colon l-cell glucagon-like peptide-producing neuroendocrine tumor,0
colon large cell neuroendocrine carcinoma,0
colon leiomyoma,0
colon leiomyosarcoma,0
colon lipoma,0
colon liposarcoma,0
colon lymphangioma,0
colon lymphoma,0
colon mantle cell lymphoma,0
colon medullary carcinoma,0
colon micropapillary adenocarcinoma,0
colon mucinous adenocarcinoma,0
colon mucosa-associated lymphoid tissue lymphoma,0
colon neoplasm,0
colon neuroendocrine neoplasm,0
colon neuroendocrine tumor,0
colon neuroendocrine tumor g1,0
colon neuroendocrine tumor g2,0
colon neuroendocrine tumor g3,0
colon non-hodgkin lymphoma,0
colon sarcoma,0
colon serrated adenocarcinoma,0
colon serrated lesions and polyps,0
colon signet ring cell adenocarcinoma,0
colon small cell neuroendocrine carcinoma,0
colon squamous cell carcinoma,0
colon traditional serrated adenoma,0
colon tubular adenoma,0
colon tubulovillous adenoma,0
colon undifferentiated carcinoma,0
colon villous adenoma,0
colorectal adenocarcinoma,0
colorectal adenocarcinoma metastatic in the liver,0
colorectal adenoma,0
colorectal adenoma with mild dysplasia,0
colorectal adenoma with moderate dysplasia,0
colorectal adenoma with severe dysplasia,0
colorectal adenoma-like adenocarcinoma,0
colorectal adenomatous polyp,0
colorectal adenosquamous carcinoma,0
colorectal angiosarcoma,0
colorectal benign granular cell tumor,0
colorectal burkitt lymphoma,0
colorectal cancer by astler-coller stage,0
colorectal carcinoma,0
colorectal carcinoma metastatic in the liver,0
colorectal carcinoma metastatic in the lung,0
colorectal conventional adenoma,0
colorectal cribriform comedo-type adenocarcinoma,0
colorectal diffuse large b-cell lymphoma,0
colorectal enterochromaffin cell serotonin-producing neuroendocrine tumor,0
colorectal filiform serrated adenoma,0
colorectal ganglioneuroma,0
colorectal gastrointestinal stromal tumor,0
"colorectal high grade b-cell lymphoma, not otherwise specified",0
colorectal high grade intraepithelial neoplasia,0
colorectal hodgkin lymphoma,0
colorectal intraepithelial neoplasia,0
colorectal kaposi sarcoma,0
colorectal l-cell glucagon-like peptide-producing neuroendocrine tumor,0
colorectal large cell neuroendocrine carcinoma,0
colorectal leiomyoma,0
colorectal leiomyosarcoma,0
colorectal lipoma,0
colorectal low grade intraepithelial neoplasia,0
colorectal lymphoma,0
colorectal mantle cell lymphoma,0
colorectal medullary carcinoma,0
colorectal micropapillary adenocarcinoma,0
colorectal mixed adenoneuroendocrine carcinoma,0
colorectal mucinous adenocarcinoma,0
colorectal mucosa-associated lymphoid tissue lymphoma,0
colorectal neoplasm,0
colorectal neuroendocrine carcinoma,0
colorectal neuroendocrine neoplasm,0
colorectal neuroendocrine tumor,0
colorectal neuroendocrine tumor g1,0
colorectal neuroendocrine tumor g2,0
colorectal neuroendocrine tumor g3,0
colorectal non-hodgkin lymphoma,0
colorectal perineurioma,0
colorectal poorly cohesive adenocarcinoma,0
colorectal sarcoma,0
colorectal sarcomatoid carcinoma,0
colorectal schwannoma,0
colorectal serrated adenocarcinoma,0
colorectal serrated lesions and polyps,0
colorectal signet ring cell carcinoma,0
colorectal small cell neuroendocrine carcinoma,0
colorectal squamous cell carcinoma,0
colorectal traditional serrated adenoma,0
colorectal tubular adenoma,0
colorectal tubulovillous adenoma,0
colorectal undifferentiated carcinoma,0
colorectal villous adenoma,0
columnar cell change of the breast,0
columnar cell change of the breast with atypia,0
columnar cell variant thyroid gland papillary carcinoma,0
combined bap1-inactivated nevus,0
combined carcinoid and adenocarcinoma,0
combined hepatocellular carcinoma and cholangiocarcinoma,0
combined lung carcinoma,0
combined lung large cell neuroendocrine carcinoma,0
combined lung small cell carcinoma,0
combined lung small cell carcinoma and lung adenocarcinoma,0
combined lung small cell and squamous cell carcinoma,0
combined nevus,0
combined thymic epithelial neoplasm,0
comedocarcinoma,0
common acute lymphoblastic leukemia,0
common blue nevus,0
common variant anaplastic large cell lymphoma,0
complex endometrial hyperplasia,11
complex endometrial hyperplasia with atypia,0
complex epithelial neoplasm,0
composite gangliocytoma/neuroma and neuroendocrine tumor,17398
"composite ganglioneuroblastoma, schwannian stroma-rich and stroma-poor",0
"composite ganglioneuroblastoma, stroma-dominant and stroma-poor",0
composite hemangioendothelioma,0
composite lymphoma,0
composite paraganglioma,0
compound nevus,0
condyloma acuminatum,0
condyloma acuminatum with dysplasia,0
congenital cystic hygroma,0
congenital melanocytic nevus,0
congenital mesoblastic nephroma,0
congenital non-progressive hemangioma,0
congenital peribronchial myofibroblastic tumor,0
congenital/infantile spindle cell rhabdomyosarcoma with vgll2/ncoa2/cited2 rearrangements,0
conjunctival adenosquamous carcinoma,0
conjunctival angiosarcoma,0
conjunctival blue nevus,0
conjunctival carcinoma,0
conjunctival compound nevus,0
conjunctival diffuse large b-cell lymphoma,0
conjunctival follicular lymphoma,0
conjunctival hemangioma,0
conjunctival junctional nevus,0
conjunctival kaposi sarcoma,0
conjunctival keratoacanthoma,0
conjunctival leiomyosarcoma,0
conjunctival lymphangioma,0
conjunctival melanocytic intraepithelial neoplasia,0
conjunctival melanoma,0
conjunctival mucosa-associated lymphoid tissue lymphoma,0
conjunctival myxoma,0
conjunctival neoplasm,0
conjunctival nevus,0
conjunctival non-hodgkin lymphoma,0
conjunctival oncocytoma,0
conjunctival rhabdomyosarcoma,0
conjunctival sarcoma,0
conjunctival sebaceous carcinoma,0
conjunctival spindle cell carcinoma,0
conjunctival spitz nevus,0
conjunctival squamous cell carcinoma,0
conjunctival squamous intraepithelial neoplasia,0
conjunctival squamous papilloma,0
conjunctival stromal tumor,0
conjunctival subepithelial nevus,0
connective and soft tissue neoplasm,0
connective and soft tissue neoplasm (antiquated),0
contralateral breast carcinoma,0
conus medullaris neoplasm,0
conventional alveolar rhabdomyosarcoma,0
conventional angiosarcoma,0
conventional cardiac rhabdomyoma,0
conventional chordoma,0
conventional dermatofibrosarcoma protuberans,0
conventional extraskeletal myxoid chondrosarcoma,0
conventional fibrosarcoma,0
conventional follicular dendritic cell sarcoma,0
conventional leiomyosarcoma,0
conventional lipoma,0
conventional malignant hemangiopericytoma,0
conventional osteosarcoma,0
conventional schwannoma,0
core binding factor acute myeloid leukemia,0
corneal kaposi sarcoma,0
corneal melanoma,0
corneal neoplasm,0
corneal squamous cell carcinoma,0
corneal squamous intraepithelial neoplasia,0
corpus callosum lipoma,0
corpus callosum neoplasm,0
corticotroph pituitary neuroendocrine tumor,0
cortisol-producing adrenal cortical adenoma,0
cranial nerve neoplasm,0
cranial nodular fasciitis,0
craniofacial fibrous dysplasia,0
craniopharyngioma,0
cribriform adenocarcinoma of minor salivary gland,0
cribriform carcinoma,0
cribriform neuroepithelial tumor,0
crohn disease-associated colorectal adenocarcinoma,0
crooke cell tumor,17398
cutaneous adult t-cell leukemia/lymphoma,0
cutaneous angioimmunoblastic t-cell lymphoma,0
cutaneous b lymphoblastic leukemia/lymphoma,0
cutaneous burkitt lymphoma,0
cutaneous chronic lymphocytic leukemia,0
cutaneous erdheim-chester disease,0
cutaneous follicular lymphoma,0
cutaneous ganglioneuroma,0
cutaneous granular cell tumor,0
cutaneous hematopoietic and lymphoid cell neoplasm,0
cutaneous histiocytic and dendritic cell neoplasm,0
cutaneous indeterminate dendritic cell tumor,0
cutaneous langerhans cell histiocytosis,0
cutaneous lymphoma,0
cutaneous lymphomatoid granulomatosis,0
cutaneous malignant melanoma 2,0
cutaneous mantle cell lymphoma,0
cutaneous mastocytosis,0
cutaneous mature b-cell neoplasm,0
cutaneous mature t-cell and nk-cell neoplasm,0
cutaneous melanoma,0
cutaneous melanoma of the extremity,0
cutaneous nasal type extranodal nk/t-cell lymphoma,0
cutaneous neural neoplasm,0
cutaneous neurofibroma,0
cutaneous nodular melanoma,0
cutaneous perineurioma,0
cutaneous plasmacytoma,0
cutaneous precursor lymphoid neoplasm,0
cutaneous schwannoma,0
cutaneous squamous cell carcinoma of the head and neck,0
cutaneous t lymphoblastic leukemia/lymphoma,0
cylindrocarcinoma,0
cylindroma,17398
cystadenocarcinoma,0
cystadenofibroma,0
cystadenoma,0
cystic hygroma,0
cystic neoplasm,0
cystic oncocytic neoplasm,0
cystic partially differentiated kidney nephroblastoma,0
cystic teratoma,0
cystic tumor of the atrioventricular node,0
cytogenetically normal acute myeloid leukemia,0
ddit4l acute lymphoblastic leukemia,0
dartoic leiomyoma,0
dedifferentiated chondrosarcoma,0
dedifferentiated chordoma,0
dedifferentiated dermatofibrosarcoma protuberans,0
dedifferentiated gastrointestinal stromal tumor,0
dedifferentiated leiomyosarcoma,0
dedifferentiated liposarcoma,0
dedifferentiated solitary fibrous tumor,0
deep (aggressive) angiomyxoma,0
deep fibrous histiocytoma,0
deep hemangioma,0
deep leiomyoma,0
deep lipoma,0
deep penetrating nevus,0
deletion of chromosome 22 associated meningioma,0
deletion of chromosome 3p associated meningioma,0
deletion of the short arm of chromosome 1 (1p) associated meningioma,0
"dendritic cell tumor, not otherwise specified",0
densely granulated corticotroph pituitary neuroendocrine tumor,17398
densely granulated lactotroph pituitary neuroendocrine tumor,0
densely granulated somatotroph pituitary neuroendocrine tumor,0
dentinogenic ghost cell tumor,0
dermal duct tumor,0
dermal fibroma,0
dermal neoplasm,0
dermal nerve sheath myxoma,0
dermal nevus,0
dermatofibrosarcoma protuberans,0
dermatofibrosarcoma protuberans with giant cell fibroblastoma-like differentiation,0
dermatofibrosarcoma protuberans with myoid differentiation,0
dermatomyofibroma,0
dermoid cyst,0
dermoid cyst of the skin,0
dermoid cyst of the spinal cord,0
descending colon neuroendocrine tumor g1,0
desmoid fibromatosis,0
desmoplastic ameloblastoma,0
desmoplastic fibroma,0
desmoplastic infantile astrocytoma,0
desmoplastic infantile ganglioglioma,0
desmoplastic melanoma,0
desmoplastic mesothelioma,0
"desmoplastic myxoid tumor of the pineal region, smarcb1-mutant",17398
desmoplastic neurotropic melanoma,0
desmoplastic nevus,0
desmoplastic small round cell tumor,0
desmoplastic spitz nevus,0
desmoplastic trichilemmoma,0
desmoplastic trichoepithelioma,0
desmoplastic/nodular medulloblastoma,0
diaphragma sellae meningioma,0
diencephalic astrocytoma,0
diencephalic glioblastoma,0
diencephalic neoplasm,0
differentiated (simplex) penile intraepithelial neoplasia,0
differentiated granulocytic sarcoma,0
differentiated high grade thyroid gland carcinoma,17398
differentiated intraepithelial neoplasia,0
differentiated retinoblastoma,0
differentiated thyroid gland carcinoma,0
differentiating neuroblastoma,0
diffuse astrocytoma,0
"diffuse astrocytoma, idh-wildtype",0
"diffuse astrocytoma, myb-altered",0
"diffuse astrocytoma, mybl1-altered",0
"diffuse astrocytoma, not otherwise specified",0
diffuse centroblastic-centrocytic lymphoma,0
diffuse cutaneous mastocytosis,0
diffuse glioma,0
diffuse glioneuronal tumor with oligodendroglioma-like features and nuclear clusters,17398
"diffuse hemispheric glioma, h3 g34-mutant",17398
diffuse intraductal papillomatosis,0
diffuse intrinsic pontine glioma,0
diffuse large b-cell lymphoma arising in hhv8-positive multicentric castleman disease,0
diffuse large b-cell lymphoma post-transplant lymphoproliferative disorder,0
diffuse leptomeningeal glioneuronal tumor,0
diffuse lipomatosis,0
"diffuse low grade glioma, braf p.v600e-mutant",0
"diffuse low grade glioma, fgfr1 tyrosine kinase domain-duplicated",0
"diffuse low grade glioma, fgfr1-mutant",0
"diffuse low grade glioma, mapk pathway-altered",0
diffuse malignant lymphoma,0
diffuse malignant mesothelioma,0
diffuse midline glioma,0
diffuse midline glioma with ezhip overexpression,17398
"diffuse midline glioma, egfr-mutant",17398
"diffuse midline glioma, h3 k27-altered",17398
"diffuse midline glioma, h3 k27m-mutant",0
diffuse mixed cell lymphoma,0
diffuse neurofibroma,0
diffuse non-pontine midline glioma,0
diffuse pediatric-type high grade glioma mycn,17398
diffuse pediatric-type high grade glioma rtk1,17398
diffuse pediatric-type high grade glioma rtk2,17398
"diffuse pediatric-type high grade glioma, h3-wildtype and idh-wildtype",17398
diffuse pulmonary lymphangiomatosis,0
diffuse retinoblastoma,0
diffuse sclerosing variant thyroid gland papillary carcinoma,0
diffuse type adenocarcinoma,0
diffusion restriction,0
digestive system adenoma,0
digestive system carcinoma,0
digestive system carcinoma in situ,0
digestive system diffuse large b-cell lymphoma,0
digestive system filiform serrated adenoma,0
digestive system hemangioma,0
digestive system hodgkin lymphoma,0
digestive system inflammatory myofibroblastic tumor,0
digestive system intraepithelial neoplasia,0
digestive system kaposi sarcoma,0
digestive system large cell neuroendocrine carcinoma,0
digestive system leiomyoma,0
digestive system leiomyosarcoma,0
digestive system lipoma,0
digestive system lymphoma,0
digestive system mixed adenoneuroendocrine carcinoma,0
digestive system neoplasm,0
digestive system neuroendocrine carcinoma,0
digestive system neuroendocrine neoplasm,0
digestive system neuroendocrine tumor,0
digestive system neuroendocrine tumor g1,0
digestive system neuroendocrine tumor g2,0
digestive system neuroendocrine tumor g3,0
digestive system non-hodgkin lymphoma,0
digestive system rhabdomyosarcoma,0
digestive system sarcoma,0
digestive system small cell neuroendocrine carcinoma,0
digestive system soft tissue neoplasm,0
digestive system solitary fibrous tumor,0
digital papillary adenocarcinoma,0
digital papillary adenoma,0
disseminated adenocarcinoma,0
disseminated carcinoma,0
disseminated juvenile xanthogranuloma,0
disseminated malignant neoplasm,0
disseminated peritoneal leiomyomatosis,0
disseminated squamous cell carcinoma,0
distal bile duct adenocarcinoma,0
distal bile duct carcinoma,0
distal esophagus adenocarcinoma,0
distal esophagus squamous cell carcinoma,0
distal urethral carcinoma,0
distal-type epithelioid sarcoma,0
distant intracranial metastasis,0
distantly metastatic malignant neoplasm,0
double pituitary neuroendocrine tumors of distinct lineages,17398
double-negative prostate carcinoma,0
drop metastasis,0
drop metastasis in the spinal cord,0
ductal eccrine adenocarcinoma,0
ductal eccrine carcinoma with abundant fibromyxoid stroma,0
ductal eccrine carcinoma with spindle cell elements,0
duodenal adenocarcinoma,0
duodenal adenoma,0
duodenal carcinoma,0
duodenal extraskeletal osteosarcoma,0
duodenal gastrin-producing neuroendocrine tumor,0
duodenal neoplasm,0
duodenal neuroendocrine tumor,0
duodenal neuroendocrine tumor g1,0
duodenal neuroendocrine tumor g2,0
duodenal neuroendocrine tumor g3,0
duodenal somatostatin-producing neuroendocrine tumor,0
duodenal villous adenoma,0
dural extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue,0
dysembryoplastic neuroepithelial tumor,0
dysembryoplastic neuroepithelial-like tumor of the septum pellucidum,0
dysplastic cerebellar gangliocytoma,0
dysplastic nevus,0
ebv-associated smooth muscle tumor,0
"ebv-positive diffuse large b-cell lymphoma, not otherwise specified",0
ebv-positive inflammatory follicular dendritic cell sarcoma,0
ebv-positive inflammatory follicular dendritic cell sarcoma of the digestive system,0
ebv-positive t-cell lymphoproliferative disorder of childhood,0
ebv-related burkitt lymphoma,0
ebv-related carcinoma,0
ebv-related clonal post-transplant lymphoproliferative disorder,0
ebv-related gastric carcinoma,0
ebv-related hodgkin lymphoma,0
ebv-related leiomyosarcoma,0
ebv-related lymphoma,0
ebv-related malignant neoplasm,0
ebv-related non-hodgkin lymphoma,0
ebv-related sarcoma,0
elp1-associated medulloblastoma,17398
ewsr1-negative small round cell tumor,0
ewsr1-smad3-positive fibroblastic tumor,0
ear carcinoma,0
ear neoplasm,0
ear polyp,0
early favorable hodgkin lymphoma,0
early gastric cancer,0
early hepatocellular carcinoma,0
early invasive cervical adenocarcinoma,0
early invasive cervical squamous cell carcinoma,0
early primary cutaneous t-cell non-hodgkin lymphoma,0
early stage breast carcinoma,0
early stage pancreatic ductal adenocarcinoma,0
early stage triple-negative breast carcinoma,0
early t acute lymphoblastic leukemia,0
early unfavorable hodgkin lymphoma,0
eccrine carcinoma,0
eccrine hidrocystoma,0
eccrine neoplasm,0
ectomesenchymal chondromyxoid tumor,0
ectomesenchymoma,0
ectopic cervical thymoma,0
ectopic hamartomatous thymoma,0
ectopic meningioma,0
ectopic pituitary neuroendocrine tumor,17398
elastofibroma,0
embryonal carcinoma,0
embryonal neoplasm,0
embryonal rhabdomyosarcoma,0
embryonal tumor with multilayered rosettes,17398
embryonal tumor with multilayered rosettes without c19mc alteration,0
"embryonal tumor with multilayered rosettes, c19mc-altered",0
